id_registro;codigo_sesion;codigo_participante;area;fuente_evidencia;tarea_funcion;requisito_relacionado;estado_tarea;dificultad_incidente;comentario_participante;observacion_investigador;recomendacion;referencia_evidencia;estado_revision
ELI-001;ELIC-P01;P01;Psicología;2026_06_04_P01_Psicologia.txt;Agendamiento e historia clínica;"RF-02; RF-01";CONTEXTO_ELICITACION;"El agendamiento se maneja en Excel y la historia clínica es física; pueden existir demoras o extravíos.";Prefiere un sistema digital para buscar información y gestionar el agendamiento.;Necesidad identificada en levantamiento, no resultado de validación.;Digitalizar agendamiento e historia clínica.;2026_06_04_P01_Psicologia.txt;CONTEXTO_ELICITACION
ELI-002;ELIC-P02;P02;Medicina General;2026_06_05_P02_Medicina_General.txt;Historia clínica y coordinación;"RF-01; RF-03";CONTEXTO_ELICITACION;Existe dificultad frecuente para localizar historiales y se usan registros manuales.;Recomienda un sistema sencillo, intuitivo y con historia clínica centralizada.;Necesidad identificada en levantamiento, no resultado de validación.;Centralizar historia clínica y simplificar consulta.;2026_06_05_P02_Medicina_General.txt;CONTEXTO_ELICITACION
ELI-003;ELIC-P03;P03;Terapia Física;2026_06_04_P03_Terapia_Fisica.txt;Historia clínica y seguimiento;"RF-01; RF-40";CONTEXTO_ELICITACION;La historia clínica continúa siendo física y puede dificultar localizar información.;Considera prioritaria la digitalización de la historia clínica y seguimiento.;Necesidad identificada en levantamiento, no resultado de validación.;Digitalizar expediente y seguimiento clínico.;2026_06_04_P03_Terapia_Fisica.txt;CONTEXTO_ELICITACION
ELI-004;ELIC-P04;P04;Nutrición;2026_06_04_P04_Nutricion.txt;Historia clínica y seguimiento nutricional;"RF-01; RF-40";CONTEXTO_ELICITACION;Se utilizan historias físicas y registros en Drive.;Solicita seguimiento antropométrico, evolución, antecedentes, exámenes, diagnóstico y recordatorios.;Necesidad identificada en levantamiento, no resultado de validación.;Integrar seguimiento nutricional e historia clínica.;2026_06_04_P04_Nutricion.txt;CONTEXTO_ELICITACION
ELI-005;ELIC-P05;P05;Odontología;2026_06_04_P05_Odontologia.txt;Historia clínica / recetas;"RF-01; RF-04; RF-32";CONTEXTO_ELICITACION;La historia clínica manual puede perderse y la receta se maneja físicamente.;Solicita historia clínica digital y acepta envío digital de receta a enfermería.;Necesidad identificada en levantamiento, no resultado de validación.;Digitalizar historia clínica y flujo de receta hacia enfermería.;2026_06_04_P05_Odontologia.txt;CONTEXTO_ELICITACION
ELI-006;ELIC-P07;P07;Recepción/Recaudación;2026_07_07_P07_Recepcion_Recaudacion.txt;Registro y derivación inicial;"RF-28; RF-35; RF-38";CONTEXTO_ELICITACION;El registro inicial y la orientación dependen de procesos manuales.;Solicita automatizar registro y derivación inicial de pacientes.;Necesidad identificada en levantamiento, no resultado de validación.;Automatizar registro y derivación.;2026_07_07_P07_Recepcion_Recaudacion.txt;CONTEXTO_ELICITACION
OBS-001;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Pantalla inicial / actividad reciente;"RF-26; RF-39";COMPLETADA_CON_OBSERVACION;La actividad reciente no muestra con suficiente detalle los procedimientos realizados por enfermería.;Propone incluir una nota de enfermería con las acciones realizadas al paciente.;Se identifica necesidad de registrar procedimientos/notas de enfermería.;Agregar nota de enfermería o listado de procedimientos realizados.;V Enfermeria.txt;REVISADO
OBS-002;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Identificación y búsqueda de pacientes;"RF-03; RF-27; RF-28";COMPLETADA_CON_OBSERVACION;La identificación debería contemplar alternativas para personas extranjeras.;Sugiere permitir identificación mediante pasaporte y búsqueda por nombre, apellidos o cédula.;La recomendación amplía las opciones de identificación y búsqueda.;Agregar pasaporte y búsqueda por varios datos.;V Enfermeria.txt;REVISADO
OBS-003;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Registro de signos vitales;RF-26;COMPLETADA_CON_OBSERVACION;El registro mostrado no incluye todos los signos vitales que el participante considera necesarios.;Indica que faltan frecuencia respiratoria y saturación.;Se observa una necesidad de completar los campos del registro de signos vitales.;Agregar frecuencia respiratoria y saturación.;V Enfermeria.txt;REVISADO
OBS-004;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Datos del paciente / emergencia;RF-28;COMPLETADA_CON_OBSERVACION;Falta información de contacto para situaciones de emergencia.;Sugiere incluir teléfono de emergencia o información de un familiar.;Se propone ampliar los datos del paciente para contacto de emergencia.;Agregar contacto de emergencia o familiar responsable.;V Enfermeria.txt;REVISADO
