RF;Nombre;Prioridad;Evidencia_walkthrough_original;Estado_walkthrough;Cambio_posterior;Verificacion_final;Estado_C3;Evidencia_final
RF-01;Registrar historia clínica digital;Must;"OBS-007; OBS-018";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.407 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-02;Agendar cita médica;Must;"OBS-006; OBS-026";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.201 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-03;Buscar pacientes por criterios;Must;OBS-002;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.017 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-06;Cancelar / modificar cita médica;Must;;SIN_OBSERVACION_ESPECIFICA;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.345 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-09;Autenticación de usuarios;Must;;SIN_EVIDENCIA_SUFICIENTE;No se declara cumplimiento final.;NO CERRADO;NO_PASA;No se contabiliza en la cobertura
RF-10;Gestionar permisos y roles;Must;"OBS-017; OBS-030";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.033 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-11;Enviar notificaciones automáticas;Must;OBS-013;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.176 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-12;Registrar auditoría de acciones;Must;;SIN_OBSERVACION_ESPECIFICA;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.076 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-13;Consultar disponibilidad de horarios;Must;OBS-026;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.334 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-17;Gestionar perfil del personal médico;Must;"OBS-015; OBS-016";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.037 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
