Matriz de Trazabilidad ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Fuente;Requisito;CU;Clase UML;Proceso DFD;Estado;BDD;CP;Historia;Estado de la traza
Acta de entrevista N°1 (EV-01);RF-01;CU-02;Paciente, HistoriaClinica;P03 Gestionar historia clínica;Sin historia -> Historia activa;BDD-RF-01;CP-RF-01;US-06;Completa
Acta de entrevista N°1, Cuestionario digital (EV-01, EV-02);RF-02;CU-01;Paciente, Cita, Horario;P02 Gestionar citas;Disponible -> Reservada -> Confirmada;BDD-RF-02;CP-RF-02;US-01;Completa
Acta de entrevista N°1 (EV-01);RF-03;CU-02;Paciente, HistoriaClinica;P01 Gestionar pacientes;Consulta iniciada -> Paciente encontrado/no encontrado;BDD-RF-03;CP-RF-03;US-02;Completa
Médico (Odontología / Medicina General) / Acta de entrevista N°1 (EV-01);RF-04;CU-03;Receta, Medicamento, HistoriaClinica;P03 Gestionar historia clínica;Atención activa -> Receta emitida;BDD-RF-04;CP-RF-04;US-03;Completa
Acta de entrevista N°1 (EV-01);RF-05;CU-02;HistoriaClinica, Auditoria;P03 Gestionar historia clínica;Historia activa -> Actualizada;BDD-RF-05;CP-RF-05;US-05;Completa
Acta de entrevista N°1 (EV-01);RF-06;CU-04;Cita, Horario;P02 Gestionar citas;Confirmada -> Reprogramada/Cancelada;BDD-RF-06;CP-RF-06;US-04;Completa
Acta de negociación N°1 (EV-04);RF-07;CU-05;Derivacion, HistoriaClinica, AreaMedica;P04 Gestionar derivaciones;Atención -> Derivada -> Aceptada;BDD-RF-07;CP-RF-07;US-19;Completa
Coordinadora / Administrador / Acta de entrevista N°1 (EV-01);RF-08;CU-05;Atencion, Reporte;P08 Generar reportes;Solicitud -> Reporte generado;BDD-RF-08;CP-RF-08;US-06;Completa
EV-01 / CU-12;RF-09;CU-12/CU-32/CU-33;Usuario, Sesion;P00 Autenticar y autorizar;No autenticado -> Autenticado/Bloqueado;BDD-RF-09;CP-RF-09;US-07/US-31/US-32;Completa
EV-04;RF-10;CU-13/CU-31;Usuario, Rol, Permiso;P00 Autenticar y autorizar;Rol vigente -> Rol actualizado;BDD-RF-10;CP-RF-10;US-08/US-30;Completa
Cuestionario digital (EV-02): 100 % prefiere WhatsApp;RF-11;CU-14;Notificacion, Cita;P09 Notificar;Pendiente -> Enviada/Fallida;BDD-RF-11;CP-RF-11;US-01;Completa
Acta de negociación N°1 (EV-04);RF-12;CU-15;Auditoria, Usuario;P10 Auditar;Evento -> Registrado;BDD-RF-12;CP-RF-12;US-09;Completa
Diagrama de CU-01 Agendar cita médica (Figura 12);RF-13;CU-01;Horario, Cita;P02 Gestionar citas;Sin horario -> Horario disponible;BDD-RF-13;CP-RF-13;US-01;Completa
EV-01;RF-14;CU-22;DocumentoClinico, HistoriaClinica;P03 Gestionar historia clínica;Físico -> Digital validado;BDD-RF-14;CP-RF-14;US-05;Completa
EV-Enf-01;RF-15;CU-29;Inventario, Medicamento, MovimientoInventario;P06 Gestionar inventario;Disponible -> Actualizado/Stock bajo;BDD-RF-15;CP-RF-15;US-33;Completa
EV-01;RF-16;CU-34;AsistenteVirtual, ConsultaIA;P11 Asistente virtual IA;Consulta -> Respondida/Derivada;BDD-RF-16;CP-RF-16;US-35;Completa
Coordinadora del centro médico;RF-17;CU-16;Profesional, AreaMedica;P05 Gestionar personal;No registrado -> Perfil activo;BDD-RF-17;CP-RF-17;US-10;Completa
Jefatura de área médica;RF-18;CU-17;Profesional, TurnoLaboral;P05 Gestionar personal;Sin turno -> Turno asignado;BDD-RF-18;CP-RF-18;US-11;Completa
Paciente (módulo de agendamiento);RF-19;CU-17;Profesional, TurnoLaboral;P05 Gestionar personal;Ocupado/Libre;BDD-RF-19;CP-RF-19;US-12;Completa
Personal médico;RF-20;CU-17;Profesional, Ausencia, TurnoLaboral;P05 Gestionar personal;Activo -> Ausente -> Reasignado;BDD-RF-20;CP-RF-20;US-11;Completa
Requisito normativo SRI;RF-21;CU-18;Comprobante, Paciente;P07 Gestionar recaudación;Servicio -> Comprobante emitido;BDD-RF-21;CP-RF-21;US-13;Completa
EV-Enf-01;RF-22;CU-19;Pago, Comprobante;P07 Gestionar recaudación;Pendiente -> Parcial/Pagado;BDD-RF-22;CP-RF-22;US-14;Completa
EV-Enf-01;RF-23;CU-19;Pago, ReporteFinanciero;P08 Generar reportes;Solicitud -> Reporte financiero;BDD-RF-23;CP-RF-23;US-14;Completa
EV-01;RF-24;CU-11;AreaMedica, Horario;P02 Gestionar citas;Horario base -> Configurado;BDD-RF-24;CP-RF-24;US-15;Completa
EV-01;RF-25;CU-11;Horario, Cupo;P02 Gestionar citas;Cupo disponible -> Cupo completo;BDD-RF-25;CP-RF-25;US-15;Completa
Entrevista al personal de Enfermería y Recepción;RF-26;CU-06;SignosVitales, Paciente;P03 Gestionar historia clínica;Pendiente -> Signos registrados;BDD-RF-26;CP-RF-26;US-16;Completa
Recepcionista / Entrevista al personal de Enfermería y Recepción;RF-27;CU-07;Paciente, HistoriaClinica;P01 Gestionar pacientes;Consulta -> Encontrado;BDD-RF-27;CP-RF-27;US-17;Completa
Recepcionista / Entrevista al personal de Enfermería y Recepción;RF-28;CU-07/CU-20;Paciente, Representante;P01 Gestionar pacientes;No registrado -> Registrado;BDD-RF-28;CP-RF-28;US-18;Completa
Recepcionista / Entrevista al personal de Enfermería y Recepción;RF-29;CU-20;Paciente, Representante;P01 Gestionar pacientes;Menor sin ID -> Vinculado;BDD-RF-29;CP-RF-29;US-18;Completa
Administrador del sistema / Entrevista al personal de Enfermería y Recepción;RF-30;CU-10;Usuario, Rol, HistoriaClinica;P00 Autenticar y autorizar;Solicitud acceso -> Permitido/Denegado;BDD-RF-30;CP-RF-30;US-19;Completa
Enfermería / EV-Enf-01;RF-31;CU-29;Medicamento, AlertaInventario;P06 Gestionar inventario;Normal -> Alerta activa;BDD-RF-31;CP-RF-31;US-33;Completa
EV-Enf-01;RF-32;CU-30;EntregaMedicamento, Medicamento, Paciente;P06 Gestionar inventario;Prescrito -> Entregado;BDD-RF-32;CP-RF-32;US-34;Completa
EV-Enf-01;RF-33;CU-08;Pago, AreaMedica, Paciente;P07 Gestionar recaudación;Pendiente -> Cobrado;BDD-RF-33;CP-RF-33;US-20;Completa
Recepcionista / Entrevista al personal de Enfermería y Recepción;RF-34;CU-08;TurnoAtencion, Paciente;P07 Gestionar recaudación;Cobrado -> Turno asignado;BDD-RF-34;CP-RF-34;US-21;Completa
Profesional del área (destino) / Entrevista al personal de Enfermería y Recepción;RF-35;CU-09;Derivacion, AreaMedica, Paciente;P04 Gestionar derivaciones;Enfermería -> Área destino;BDD-RF-35;CP-RF-35;US-19;Completa
Profesional del área / EV-Enf-01;RF-36;CU-01;Cita, AreaMedica, Profesional;P02 Gestionar citas;Disponible -> Cita de área;BDD-RF-36;CP-RF-36;US-01;Completa
Profesional del área / EV-Enf-01;RF-37;CU-21;Cita, Auditoria;P02 Gestionar citas;Activa -> Reprogramada/Cancelada;BDD-RF-37;CP-RF-37;US-23;Completa
Entrevista al personal de Enfermería y Recepción;RF-38;CU-07;Paciente, Pago;P01 Gestionar pacientes;Consulta -> Datos precargados;BDD-RF-38;CP-RF-38;US-22;Completa
