id;fecha_utc;herramienta;modelo;actividad;fuentes;objetivo;archivo_prompt;archivo_salida;resultado_resumido;estado;tipo_evidencia;participante_humano;cuenta_como_entrevista;minutos_humanos
LLM-P01;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Revisión de consistencia del ERS/SRS;ERS_SRS_2B_V2.0_CORREGIDO.tex;Detectar contradicciones internas de identificadores, conteos y definiciones de RF/RNF.;LLM-P01_prompt.txt;LLM-P01_respuesta.txt;Se detectó y normalizó la contradicción de RNF-03 y el conteo/numeración de RNF.;CORREGIDO_DOCUMENTALMENTE;Revisión documental asistida por IA;NO;NO;0
LLM-P02;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Revisión de matriz de trazabilidad;matriz_trazabilidad_CORREGIDA.csv;Contrastar relaciones RF/RNF de la matriz con el catálogo vigente del ERS.;LLM-P02_prompt.txt;LLM-P02_respuesta.txt;Se corrigió la asociación de cifrado para no reutilizar RNF-03 ni RNF-11 fuera de su alcance.;CORREGIDO_DOCUMENTALMENTE;Revisión documental asistida por IA;NO;NO;0
LLM-P03;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Trazado de observaciones a requisitos;ficha_observacion_COMPLETA_TRAZADA.csv;Relacionar observaciones humanas disponibles con RF/RNF sin inventar requisitos ni resultados.;LLM-P03_prompt.txt;LLM-P03_respuesta.txt;Se sustituyeron ND por relaciones RF/RNF justificadas y se separó el contexto ELI-* de OBS-*.;EJECUTADO_CON_REVISION_HUMANA;Revisión documental asistida por IA;NO;NO;0
LLM-P04;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Control de integridad de métricas;ERS/SRS + PE5 + protocolo;Comprobar que umbrales de aceptación no se presenten como resultados experimentales.;LLM-P04_prompt.txt;LLM-P04_respuesta.txt;"Se mantuvieron SUS y métricas IA como umbrales/criterios; no se declararon como resultados medidos.";EJECUTADO;Revisión documental asistida por IA;NO;NO;0
LLM-P05;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Control metodológico de SUS;protocolo + ficha de observación;Verificar si SUS fue realmente aplicado en el walkthrough disponible.;LLM-P05_prompt.txt;LLM-P05_respuesta.txt;"No existe evidencia de aplicación SUS en la ronda documentada; no corresponde calcular ni declarar puntuación SUS.";NO_MEDIDO;Revisión documental asistida por IA;NO;NO;0
LLM-P06;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Separación de líneas base 2B y PE5;ERS/SRS 2B + PE5;Identificar si la matriz 2B y la trazabilidad PE5 pueden fusionarse sin control de configuración.;LLM-P06_prompt.txt;LLM-P06_respuesta.txt;"Se determinó que corresponden a líneas base distintas; se evitó una fusión silenciosa.";CONTROL_REQUERIDO;Revisión documental asistida por IA;NO;NO;0
LLM-P07;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Revisión de requisitos de IA;PE5;Distinguir requisitos/umbrales de IA de evidencia experimental realmente disponible.;LLM-P07_prompt.txt;LLM-P07_respuesta.txt;"Los componentes IA y sus umbrales se mantienen como especificación; la validación experimental no se declara completada.";VALIDACION_PENDIENTE;Revisión documental asistida por IA;NO;NO;0
LLM-P08;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Revisión de supervisión humana de IA;PE5;Identificar controles de supervisión humana que deberán comprobarse cuando exista implementación evaluable.;LLM-P08_prompt.txt;LLM-P08_respuesta.txt;Se identificaron identificación del asistente como IA, fallback, anulación de predicciones y auditoría como controles a verificar.;VERIFICACION_FUTURA;Revisión documental asistida por IA;NO;NO;0
LLM-P09;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Control de procedencia de evidencia;transcripciones + ficha;Evitar que observaciones de primera ronda se contabilicen como resultados del prototipo.;LLM-P09_prompt.txt;LLM-P09_respuesta.txt;ELI-* quedó como contexto de elicitación y OBS-* como evidencia de validación.;EJECUTADO;Revisión documental asistida por IA;NO;NO;0
LLM-P10;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Control de sesiones pendientes;transcripciones disponibles;Evitar completar observaciones de sesiones que todavía no tienen evidencia real disponible.;LLM-P10_prompt.txt;LLM-P10_respuesta.txt;No se generaron observaciones ficticias para sesiones/transcripciones pendientes.;EJECUTADO;Revisión documental asistida por IA;NO;NO;0
LLM-P11;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Control de rol de la IA en el experimento;paquete 06_Experimento;Definir si esta revisión asistida por IA cuenta como participante, entrevista o minutos humanos.;LLM-P11_prompt.txt;LLM-P11_respuesta.txt;"La revisión se clasificó como evidencia secundaria de proceso; no cuenta como participante, entrevista ni minutos humanos.";EJECUTADO;Revisión documental asistida por IA;NO;NO;0
LLM-P12;2026-08-29T19:44:50+00:00;ChatGPT;GPT-5.6 Sol;Integridad verificable de archivos LLM;archivos prompts_llm;Generar huellas criptográficas de los registros para detectar modificaciones posteriores.;LLM-P12_prompt.txt;LLM-P12_respuesta.txt;Se generan SHA-256 de los archivos de evidencia del registro LLM.;EJECUTADO;Revisión documental asistida por IA;NO;NO;0
