id_registro;codigo_sesion;codigo_participante;area;fuente_evidencia;tarea_funcion;requisito_relacionado;estado_tarea;dificultad_incidente;comentario_participante;observacion_investigador;recomendacion;referencia_evidencia;estado_revision
OBS-001;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Pantalla inicial / actividad reciente;"RF-26; RF-39";COMPLETADA_CON_OBSERVACION;La actividad reciente no muestra con suficiente detalle los procedimientos realizados por enfermería.;Propone incluir una nota de enfermería con las acciones realizadas al paciente.;Se identifica necesidad de registrar procedimientos/notas de enfermería.;Agregar nota de enfermería o listado de procedimientos realizados.;V Enfermeria.txt;REVISADO
OBS-002;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Identificación y búsqueda de pacientes;"RF-03; RF-27; RF-28";COMPLETADA_CON_OBSERVACION;La identificación debería contemplar alternativas para personas extranjeras.;Sugiere permitir identificación mediante pasaporte y búsqueda por nombre, apellidos o cédula.;La recomendación amplía las opciones de identificación y búsqueda.;Agregar pasaporte y búsqueda por varios datos.;V Enfermeria.txt;REVISADO
OBS-003;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Registro de signos vitales;RF-26;COMPLETADA_CON_OBSERVACION;El registro mostrado no incluye todos los signos vitales que el participante considera necesarios.;Indica que faltan frecuencia respiratoria y saturación.;Se observa una necesidad de completar los campos del registro de signos vitales.;Agregar frecuencia respiratoria y saturación.;V Enfermeria.txt;REVISADO
OBS-004;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Datos del paciente / emergencia;RF-28;COMPLETADA_CON_OBSERVACION;Falta información de contacto para situaciones de emergencia.;Sugiere incluir teléfono de emergencia o información de un familiar.;Se propone ampliar los datos del paciente para contacto de emergencia.;Agregar contacto de emergencia o familiar responsable.;V Enfermeria.txt;REVISADO
OBS-005;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Recetas y entrega de medicamentos;RF-32;COMPLETADA_CON_OBSERVACION;La fecha es importante para el control y reporte de medicamentos entregados.;Indica que la fecha serviría para contabilizar la entrega y evitar pérdida de información.;La sección de recetas fue revisada y se recomienda reforzar la trazabilidad temporal.;Mantener fecha visible/registrada en entrega de medicamentos.;V Enfermeria.txt;REVISADO
OBS-006;VAL-MG;P02;Medicina General;V Medicina General.txt;Agenda / visualización temporal;"RF-02; RF-36";COMPLETADA_CON_OBSERVACION;La agenda debería permitir una vista mensual.;Indica que sería ideal agregar el mes.;La vista temporal actual se considera incompleta.;Agregar vista por mes.;V Medicina General.txt;REVISADO
OBS-007;VAL-MG;P02;Medicina General;V Medicina General.txt;Historia clínica;"RF-01; RF-39";COMPLETADA_CON_OBSERVACION;La historia clínica podría contener más información.;Sugiere aumentar información como antecedentes personales del paciente.;Se identifica necesidad de ampliar el detalle clínico.;Ampliar campos de historia clínica cuando correspondan al área.;V Medicina General.txt;REVISADO
OBS-008;VAL-MG;P02;Medicina General;V Medicina General.txt;Derivaciones / campos obligatorios;"RF-35; RNF-13";NO_COMPLETADA;El sistema permitió intentar registrar información sin completar todos los campos.;Señala que no debería poder registrarse si no se llenan todos los campos.;Se observa una validación insuficiente de campos requeridos.;Impedir el registro cuando falten campos obligatorios.;V Medicina General.txt;REVISADO
OBS-009;VAL-MG;P02;Medicina General;V Medicina General.txt;Derivaciones / hora;RF-35;COMPLETADA_CON_OBSERVACION;La forma de registrar la hora puede mejorarse.;Recomienda que el profesional pueda registrar la hora de manera más directa.;Se registra recomendación sobre el manejo de la hora.;Mejorar el control para registrar la hora.;V Medicina General.txt;REVISADO
OBS-010;VAL-MG;P02;Medicina General;V Medicina General.txt;Legibilidad;RNF-03;COMPLETADA_CON_OBSERVACION;El tamaño de las letras requiere mejora.;Menciona el tamaño de las letras como recomendación.;Se registra un problema de legibilidad.;Aumentar o permitir ajustar el tamaño de letra.;V Medicina General.txt;REVISADO
OBS-011;VAL-NUT;P04;Nutrición;V Nutricion.txt;Inicio / actividad reciente;"RF-28; RNF-13";COMPLETADA_CON_OBSERVACION;La misma persona aparece repetida varias veces y una cédula ingresada se guardó como número uno.;Indica que la página de inicio resulta confusa por registros repetidos y el problema de la cédula.;Se observan duplicación visual y un error de persistencia/registro del identificador.;Evitar duplicados y conservar correctamente la cédula registrada.;V Nutricion.txt;REVISADO
OBS-012;VAL-NUT;P04;Nutrición;V Nutricion.txt;Agenda;"RF-36; RF-37";COMPLETADA_CON_OBSERVACION;La agenda muestra día, semana, disponibilidad y canceladas.;Sugiere que al ingresar el paciente a evaluación se elimine o cambie el estado correspondiente en la agenda.;Se registra una mejora del flujo de estados de citas.;Actualizar claramente el estado de la cita después de la atención.;V Nutricion.txt;REVISADO
